"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"lda",0.159715586839322,0.159715586839322,0.159715586839322,0.00431304056702493,1.50176620911871,0.0138888888888889,0.247354291949485,167.927055863128,50.1070516109467,"posterior","random_dirichlet",NA,NA,NA,"baseline",20,1094480484
"stm",0.0104540164140476,0.0104540164140476,0.0104540164140476,0.000673707674308879,0.10219437368166,0.458333333333333,0.126725630933447,164.431703755239,11.7067365646362,"posterior","spectral",NA,NA,NA,"baseline",20,1094480484
NA,0.150567029971012,0.150567029971012,0.150567029971012,0.00635014351696496,1.38390512145068,0,0.164449733609068,173.095824581121,48.4368500709534,"posterior","random",NA,NA,NA,"baseline",20,1094480484
"gscamm",0.145970956248681,0.208457326421192,0.096357678904277,0.00380009797205123,0.883815278348778,0.680555555555556,1.72231883259107,189.919531031464,12.6592655181885,"structural","kmeans",38,TRUE,240,"baseline",21,1594351602
"gscamm_boot",0.145970956248681,0.208457326421192,0.096357678904277,0.00380009797205123,0.847857262706565,1,6.66467839099148,189.919531031464,813.580692529678,"structural","kmeans",38,TRUE,240,"baseline",21,1594351602
"lda",0.10545287391607,0.10545287391607,0.10545287391607,0.00396494879942798,1.13143983575134,0.0694444444444444,0.236417344278609,160.736766680098,37.1446905136108,"posterior","random_dirichlet",NA,NA,NA,"baseline",21,1594351602
"stm",0.00935978406631374,0.00935978406631374,0.00935978406631374,0.000479740574104133,0.0635868299321741,0.694444444444444,0.127032654775059,159.864143374387,8.4675087928772,"posterior","spectral",NA,NA,NA,"baseline",21,1594351602
NA,0.0961110245551526,0.0961110245551526,0.0961110245551526,0.00675218617539864,1.20763794796018,0.0138888888888889,0.13056160503404,165.56161999562,31.7952928543091,"posterior","random",NA,NA,NA,"baseline",21,1594351602
"gscamm",0.119555188727347,0.198199749780728,0.0584158523394805,0.00366710639292889,0.62398945529992,0.833333333333333,1.7399850366107,213.098395015918,10.7972431182861,"structural","kmeans",36,TRUE,353,"baseline",22,1866559661
"gscamm_boot",0.119555188727347,0.198199749780728,0.0584158523394805,0.00366710639292889,0.509376510887037,1,6.73344886556885,213.098395015918,880.949319601059,"structural","kmeans",36,TRUE,353,"baseline",22,1866559661
"lda",0.082372208462005,0.082372208462005,0.082372208462005,0.00377109372110469,0.672154993523655,0.166666666666667,0.197241994441691,184.162304140069,66.2857873439789,"posterior","random_dirichlet",NA,NA,NA,"baseline",22,1866559661
"stm",0.0110968231233868,0.0110968231233868,0.0110968231233868,0.000625620648297214,0.0963592280335738,0.361111111111111,0.116179634719287,183.218288930663,9.6236834526062,"posterior","spectral",NA,NA,NA,"baseline",22,1866559661
NA,0.136014049187894,0.136014049187894,0.136014049187894,0.00607789575107724,1.05951488213667,0.0555555555555556,0.132301457823124,193.548722242844,34.6757051944733,"posterior","random",NA,NA,NA,"baseline",22,1866559661
"gscamm",0.152988766049544,0.195897120370792,0.0470021746820966,0.00357704515117438,0.887690807235164,0.666666666666667,1.8012505973265,181.787076095645,7.92652368545532,"structural","kmeans",42,TRUE,370,"baseline",23,351996125
"gscamm_boot",0.152988766049544,0.195897120370792,0.0470021746820966,0.00357704515117438,0.793447175720871,1,7.11094775652897,181.787076095645,876.769008874893,"structural","kmeans",42,TRUE,370,"baseline",23,351996125
"lda",0.134033750212294,0.134033750212294,0.134033750212294,0.00460549326101825,1.25835413478975,0.125,0.254750947707607,158.890921784323,51.2941107749939,"posterior","random_dirichlet",NA,NA,NA,"baseline",23,351996125
"stm",0.00861958896352761,0.00861958896352761,0.00861958896352761,0.00075744866020653,0.0696686190729344,0.625,0.128897163871964,153.979531394647,7.07189416885376,"posterior","spectral",NA,NA,NA,"baseline",23,351996125
NA,0.100071173674567,0.100071173674567,0.100071173674567,0.00540425559497279,1.08187575217439,0.0277777777777778,0.161398867336791,157.4453082884,30.5142059326172,"posterior","random",NA,NA,NA,"baseline",23,351996125
"gscamm",0.148896902306305,0.255361710786788,0.145709327849578,0.00502800727779212,0.695339865715013,0.833333333333333,1.81916380122134,203.342652839307,8.75305366516113,"structural","kmeans",43,TRUE,263,"baseline",24,1841056617
"gscamm_boot",0.148896902306305,0.255361710786788,0.145709327849578,0.00502800727779212,0.831740370813285,1,7.21590368666423,203.342652839307,1024.75525975227,"structural","kmeans",43,TRUE,263,"baseline",24,1841056617
"lda",0.106152629159056,0.106152629159056,0.106152629159056,0.00313610420900542,0.939153682292385,0.0277777777777778,0.220250562640398,175.026644662445,61.8253800868988,"posterior","random_dirichlet",NA,NA,NA,"baseline",24,1841056617
"stm",0.0106876592762664,0.0106876592762664,0.0106876592762664,0.000631068050895745,0.0775423085054147,0.430555555555556,0.0989683106439904,174.911735639409,7.57243347167969,"posterior","spectral",NA,NA,NA,"baseline",24,1841056617
NA,0.138845595779022,0.138845595779022,0.138845595779022,0.00624551173430245,1.01410389261375,0.0138888888888889,0.115969100456743,182.807601383232,28.0241866111755,"posterior","random",NA,NA,NA,"baseline",24,1841056617
"gscamm",0.116786984944962,0.19897877461442,0.0715190543616031,0.00376930748821098,0.609181477191191,0.833333333333333,1.79289509381054,207.217299104686,13.2905542850494,"structural","kmeans",76,TRUE,329,"baseline",25,82525317
"gscamm_boot",0.116786984944962,0.19897877461442,0.0715190543616031,0.00376930748821098,0.445814679695363,1,7.03579176359736,207.217299104686,1048.45893669128,"structural","kmeans",76,TRUE,329,"baseline",25,82525317
"lda",0.0847381218804579,0.0847381218804579,0.0847381218804579,0.0037744451721941,1.02194148708359,0.194444444444444,0.228442651984432,181.073119936918,63.8505654335022,"posterior","random_dirichlet",NA,NA,NA,"baseline",25,82525317
"stm",0.0145043398542125,0.0145043398542125,0.0145043398542125,0.000910414283366711,0.114487744167293,0.333333333333333,0.105561380117423,180.479968199927,7.52713942527771,"posterior","spectral",NA,NA,NA,"baseline",25,82525317
NA,0.130832802233213,0.130832802233213,0.130832802233213,0.00534015785813046,1.19642137608679,0.0277777777777778,0.129621785175393,187.630551521947,26.5048930644989,"posterior","random",NA,NA,NA,"baseline",25,82525317
"gscamm",0.158487423780528,0.2082649678222,0.0841216205099957,0.00400905430470095,0.905945571329259,0.638888888888889,1.59670695806614,188.096608915476,8.26263666152954,"structural","kmeans",50,TRUE,296,"baseline",26,2026414573
"gscamm_boot",0.158487423780528,0.2082649678222,0.0841216205099957,0.00400905430470095,0.751201879011482,1,5.7461409327512,188.096608915476,944.253150224686,"structural","kmeans",50,TRUE,296,"baseline",26,2026414573
