"method","rmse_theta","rmse_theta_R","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","scenario","replicate","seed"
"gscamm_boot",0.214637930349955,0.367930426154182,0.0145353828864885,1.75919346660252,0.8125,7.16576876064928,55.7349663867112,9.29059910774231,"high_covariate",2,601901350
"lda",0.0390624591102113,0.0390624591102113,0.00285396203119203,0.124081161352059,0.6875,0.257550769203529,50.1250295353968,7.18170595169067,"high_covariate",2,601901350
"stm",0.233704187158965,0.233704187158965,0.0153421591914476,1.48071305535658,0.125,0.250482424807036,50.152076457712,4.0006320476532,"high_covariate",2,601901350
"gscamm",0.0963357223410247,0.288162117126596,0.0129678353594416,0.62231796299547,1,3.74944656035825,59.3487853272763,0.247220039367676,"high_covariate",3,237766255
"gscamm_boot",0.0963357223410247,0.288162117126596,0.0129678353594416,0.954471575328063,1,8.2664006171656,59.3487853272763,8.87857103347778,"high_covariate",3,237766255
"lda",0.140415144146427,0.140415144146427,0.0157482347208966,0.723205658485013,0,0.288683744459143,54.0051504934007,8.81085991859436,"high_covariate",3,237766255
"stm",0.030800778663569,0.030800778663569,0.00235014119178238,0.0923550032125983,0.6875,0.180322665023422,53.9895291818762,2.28070592880249,"high_covariate",3,237766255
"gscamm",0.152844436609127,0.323476235738013,0.0137773701860857,0.912687315794142,0.875,3.43501217597764,55.5163112273352,0.226785898208618,"high_covariate",4,2002443372
"gscamm_boot",0.152844436609127,0.323476235738013,0.0137773701860857,1.15249891397102,0.9375,7.28470328440896,55.5163112273352,8.93729400634766,"high_covariate",4,2002443372
"lda",0.306656422596962,0.306656422596962,0.0132353326785552,1.86265052937514,0,0.349258689423488,50.9433660793384,5.97880697250366,"high_covariate",4,2002443372
"stm",0.224627425589676,0.224627425589676,0.0141031546785291,1.53256509743368,0,0.242347495261689,50.9815350497928,2.74019384384155,"high_covariate",4,2002443372
"gscamm",0.160052715623934,0.316246161330709,0.0164356843616334,0.931064552910431,0.9375,3.66288749547025,52.9960767240694,0.219141006469727,"high_covariate",5,1084462256
"gscamm_boot",0.160052715623934,0.316246161330709,0.0164356843616334,1.3283061517058,1,8.12304096669269,52.9960767240694,8.89837121963501,"high_covariate",5,1084462256
"lda",0.219786526902619,0.219786526902619,0.0213116289452358,1.34777277293484,0,0.269370159455414,47.2615801281336,8.44683718681335,"high_covariate",5,1084462256
"stm",0.141066388863861,0.141066388863861,0.0205018544607508,0.915599935309194,0,0.209568764128048,47.3009084815453,1.55373001098633,"high_covariate",5,1084462256
"gscamm",0.0725222845665649,0.30865060991053,0.0135094359594298,0.233723418789138,1,2.43985039657945,54.662555160984,0.226333141326904,"high_sparsity",1,853315193
"gscamm_boot",0.0725222845665649,0.30865060991053,0.0135094359594298,1.01778976295493,0.75,4.20327472356016,54.662555160984,8.93501114845276,"high_sparsity",1,853315193
"lda",0.335270443942609,0.335270443942609,0.018603193749782,1.47002432693046,0.0625,0.342785568866496,52.2930211525199,5.3902599811554,"high_sparsity",1,853315193
"stm",0.105904257973428,0.105904257973428,0.0121085538349736,0.513795795218675,0,0.137536505013011,53.0226239549424,1.38717198371887,"high_sparsity",1,853315193
"gscamm",0.182550603121507,0.346974461141342,0.0147029984162438,1.22758052584567,0.8125,2.97067176095223,56.0271800013212,0.219390869140625,"high_sparsity",2,601901350
"gscamm_boot",0.182550603121507,0.346974461141342,0.0147029984162438,1.83409434466692,0.8125,6.03508184962548,56.0271800013212,9.18572497367859,"high_sparsity",2,601901350
"lda",0.0967471888733935,0.0967471888733935,0.00519259313172707,0.239055332757857,0.5625,0.405434049031113,50.8145586516229,2.52362585067749,"high_sparsity",2,601901350
"stm",0.040106659947656,0.040106659947656,0.00214450056516489,0.173421889838693,0.25,0.118892837058693,51.1657026312688,1.58192586898804,"high_sparsity",2,601901350
"gscamm",0.105803154798324,0.304943696144542,0.0126062815475352,0.768176553056776,1,2.91302051910183,56.3445650118042,0.21736216545105,"high_sparsity",3,237766255
"gscamm_boot",0.105803154798324,0.304943696144542,0.0126062815475352,1.21020912434525,0.8125,5.99704447338034,56.3445650118042,8.77422404289246,"high_sparsity",3,237766255
"lda",0.127405941275223,0.127405941275223,0.0124811482145656,0.78290098340691,0.0625,0.492139104908387,51.6267529747618,3.82846212387085,"high_sparsity",3,237766255
"stm",0.120071183342045,0.120071183342045,0.0160288320097846,0.866592742168868,0.125,0.118929134277637,51.6905479090686,1.92223405838013,"high_sparsity",3,237766255
"gscamm",0.115200540939612,0.278064632569269,0.0106524033936399,0.556785261265561,1,3.17192657976897,49.4681903050096,0.226073980331421,"high_sparsity",4,2002443372
"gscamm_boot",0.115200540939612,0.278064632569269,0.0106524033936399,0.60713954650825,0.9375,6.25171684565693,49.4681903050096,8.74397993087769,"high_sparsity",4,2002443372
"lda",0.25080028905131,0.25080028905131,0.0157981195046492,1.34195055081857,0.125,0.420353681136296,45.4490818988164,5.47360301017761,"high_sparsity",4,2002443372
"stm",0.308368794716493,0.308368794716493,0.0180590766932395,2.3101105301146,0,0.161553643969482,45.8513634358414,2.24221992492676,"high_sparsity",4,2002443372
"gscamm",0.202232717255392,0.356485871325785,0.016284625784878,1.13343107545868,0.875,3.20782723837338,55.7116531780464,0.233526945114136,"high_sparsity",5,1084462256
"gscamm_boot",0.202232717255392,0.356485871325785,0.016284625784878,1.87932281855169,0.6875,6.31339916797353,55.7116531780464,9.13506984710693,"high_sparsity",5,1084462256
"lda",0.217650680550934,0.217650680550934,0.0174564647277382,1.25643367085051,0,0.297557971962888,49.1982778287105,2.49489998817444,"high_sparsity",5,1084462256
"stm",0.0366100731267286,0.0366100731267286,0.00187020741149571,0.164268713956599,0.25,0.112309135772872,49.8527300297211,3.78205680847168,"high_sparsity",5,1084462256
