"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"stm",0.012197794620182,0.012197794620182,0.012197794620182,0.000845055801885918,0.0881361219466747,0.5,0.106701384481118,191.174121671781,6.8656690120697,"posterior","spectral",NA,NA,NA,"baseline",10,1364984942
"gscamm",0.135674017447254,0.201596173405913,0.135674017447254,0.00377310679379324,0.757080304414379,0.763888888888889,1.85328726307366,192.970943882361,2.0104706287384,"structural","kmeans",39,TRUE,NA,"baseline",11,1466980332
"gscamm_boot",0.135674017447254,0.201596173405913,0.135674017447254,0.00377310679379324,0.766057881361284,1,25.0380677029957,192.970943882361,1012.65516471863,"structural","kmeans",39,TRUE,NA,"baseline",11,1466980332
"lda",0.114565330080675,0.114565330080675,0.114565330080675,0.00426281876516711,1.02372702416021,0.0138888888888889,0.213510345878463,163.16273106054,52.7467238903046,"posterior","random_dirichlet",NA,NA,NA,"baseline",11,1466980332
"stm",0.117985661092667,0.117985661092667,0.117985661092667,0.00343769550422392,1.12230847384481,0.111111111111111,0.166697382266281,162.205413064507,6.95948529243469,"posterior","spectral",NA,NA,NA,"baseline",11,1466980332
"gscamm",0.160718149646539,0.238763334499182,0.160718149646539,0.00458400345634396,0.957089504610618,0.694444444444444,1.76308435812949,184.150480066274,2.12377548217773,"structural","kmeans",42,TRUE,NA,"baseline",12,998838198
"gscamm_boot",0.160718149646539,0.238763334499182,0.160718149646539,0.00458400345634396,1.11079495124074,1,22.9665603492025,184.150480066274,1011.9800028801,"structural","kmeans",42,TRUE,NA,"baseline",12,998838198
"lda",0.109652219740355,0.109652219740355,0.109652219740355,0.00491035427298949,1.08880325274417,0.0138888888888889,0.230947917518906,158.212770558932,34.8395946025848,"posterior","random_dirichlet",NA,NA,NA,"baseline",12,998838198
"stm",0.051213941255264,0.051213941255264,0.051213941255264,0.00379674803883491,0.837838681148438,0,0.153716054776848,154.622855928491,5.89017653465271,"posterior","spectral",NA,NA,NA,"baseline",12,998838198
"gscamm",0.142583135001146,0.217983398470498,0.142583135001146,0.00411592036068252,0.837477014692067,0.694444444444444,1.69499978071205,196.95428439046,2.50639891624451,"structural","kmeans",37,TRUE,NA,"baseline",13,1771122558
"gscamm_boot",0.142583135001146,0.217983398470498,0.142583135001146,0.00411592036068252,0.865471365195497,1,20.9293757347608,196.95428439046,1072.94959974289,"structural","kmeans",37,TRUE,NA,"baseline",13,1771122558
"lda",0.070075346447117,0.070075346447117,0.070075346447117,0.00346540415031964,0.842310958370164,0.0555555555555556,0.234393233964243,165.828571610146,35.0347819328308,"posterior","random_dirichlet",NA,NA,NA,"baseline",13,1771122558
"stm",0.00971113042241084,0.00971113042241084,0.00971113042241084,0.000429225703459313,0.0710407207989094,0.597222222222222,0.115747491053958,164.163676536867,5.53580546379089,"posterior","spectral",NA,NA,NA,"baseline",13,1771122558
"gscamm",0.138465499265513,0.229041324980033,0.138465499265513,0.00450316889600257,0.819474233238835,0.791666666666667,1.7567272174515,196.836277943118,2.08288049697876,"structural","kmeans",40,TRUE,NA,"baseline",14,1763779549
"gscamm_boot",0.138465499265513,0.229041324980033,0.138465499265513,0.00450316889600257,0.910572934342181,1,23.2719151780368,196.836277943118,1001.18675065041,"structural","kmeans",40,TRUE,NA,"baseline",14,1763779549
"lda",0.115566116235535,0.115566116235535,0.115566116235535,0.00439802065561335,1.07391430376264,0.0833333333333333,0.211590594106837,171.04573980307,45.6590147018433,"posterior","random_dirichlet",NA,NA,NA,"baseline",14,1763779549
"stm",0.0108853195586966,0.0108853195586966,0.0108853195586966,0.000693686694613705,0.103169357867228,0.486111111111111,0.117740282974901,169.838726039405,7.18630218505859,"posterior","spectral",NA,NA,NA,"baseline",14,1763779549
"gscamm",0.151897687197733,0.209443592016969,0.151897687197733,0.00412144875097847,0.90664071803834,0.694444444444444,1.697271935063,179.685000439609,2.4628221988678,"structural","kmeans",40,TRUE,NA,"baseline",15,23370252
"gscamm_boot",0.151897687197733,0.209443592016969,0.151897687197733,0.00412144875097847,0.909958920498414,1,21.4402939507429,179.685000439609,917.548246860504,"structural","kmeans",40,TRUE,NA,"baseline",15,23370252
"lda",0.122380021488808,0.122380021488808,0.122380021488808,0.00347843763245117,1.08638287770179,0,0.241227834846087,151.203233047559,43.7629263401031,"posterior","random_dirichlet",NA,NA,NA,"baseline",15,23370252
"stm",0.0347452388416676,0.0347452388416676,0.0347452388416676,0.00345929488440948,0.683414763453295,0.0972222222222222,0.164585274366092,150.890266716207,6.97819089889526,"posterior","spectral",NA,NA,NA,"baseline",15,23370252
"gscamm",0.13813717181892,0.196837541726,0.13813717181892,0.00373161336780974,0.791444322816909,0.736111111111111,1.75555578691323,191.844241682981,1.88156080245972,"structural","kmeans",39,TRUE,NA,"baseline",16,1765223653
"gscamm_boot",0.13813717181892,0.196837541726,0.13813717181892,0.00373161336780974,0.76009442656807,1,21.8258057263412,191.844241682981,1006.2011756897,"structural","kmeans",39,TRUE,NA,"baseline",16,1765223653
"lda",0.11303581520229,0.11303581520229,0.11303581520229,0.00450858927370405,1.15559208784616,0.0416666666666667,0.257171408736644,163.566959181544,69.9390923976898,"posterior","random_dirichlet",NA,NA,NA,"baseline",16,1765223653
"stm",0.0100389201240323,0.0100389201240323,0.0100389201240323,0.000589666843354113,0.0596327962063499,0.75,0.128554899222986,162.25235295403,6.238525390625,"posterior","spectral",NA,NA,NA,"baseline",16,1765223653
"gscamm",0.158839694521907,0.221671343681648,0.158839694521907,0.00445729630848849,0.968913664278739,0.625,1.70740796924102,173.103078494253,2.8947057723999,"structural","kmeans",42,TRUE,NA,"baseline",17,992936995
"gscamm_boot",0.158839694521907,0.221671343681648,0.158839694521907,0.00445729630848849,1.04353508106453,1,22.038418531879,173.103078494253,933.258295297623,"structural","kmeans",42,TRUE,NA,"baseline",17,992936995
"lda",0.162719607477118,0.162719607477118,0.162719607477118,0.00558815373225631,1.64943913262097,0.0694444444444444,0.286984755690982,148.2460946824,50.3773982524872,"posterior","random_dirichlet",NA,NA,NA,"baseline",17,992936995
"stm",0.00865450744747212,0.00865450744747212,0.00865450744747212,0.000400930747201307,0.0740889598558463,0.583333333333333,0.135847982865296,145.927146638591,15.6108841896057,"posterior","spectral",NA,NA,NA,"baseline",17,992936995
"gscamm",0.139036363417657,0.242191012832454,0.139036363417657,0.00445825972274029,0.752027021732158,0.791666666666667,1.81123602666964,213.03569713904,2.96851825714111,"structural","kmeans",41,TRUE,NA,"baseline",18,369847555
"gscamm_boot",0.139036363417657,0.242191012832454,0.139036363417657,0.00445825972274029,0.995529223077172,1,23.6798131704778,213.03569713904,990.074092626572,"structural","kmeans",41,TRUE,NA,"baseline",18,369847555
"lda",0.0890135578195828,0.0890135578195828,0.0890135578195828,0.00400747644021963,0.906819393822876,0,0.202198106641035,183.689219291701,42.9724059104919,"posterior","random_dirichlet",NA,NA,NA,"baseline",18,369847555
"stm",0.145264863907901,0.145264863907901,0.145264863907901,0.00433187539386938,1.46555141903093,0.194444444444444,0.132158789713729,182.459849629672,8.58116865158081,"posterior","spectral",NA,NA,NA,"baseline",18,369847555
"gscamm",0.135265517482048,0.196837779665396,0.135265517482048,0.0039544276189767,0.920961922877407,0.638888888888889,1.6455339898269,193.088703123146,3.14462542533875,"structural","kmeans",47,TRUE,NA,"baseline",19,904034858
"gscamm_boot",0.135265517482048,0.196837779665396,0.135265517482048,0.0039544276189767,0.957964780640433,1,20.4197776983907,193.088703123146,959.517039299011,"structural","kmeans",47,TRUE,NA,"baseline",19,904034858
"lda",0.124610779335104,0.124610779335104,0.124610779335104,0.00388822656685773,1.07534155729977,0.0972222222222222,0.213838348224319,162.744121387345,41.5076007843018,"posterior","random_dirichlet",NA,NA,NA,"baseline",19,904034858
"stm",0.105535637827064,0.105535637827064,0.105535637827064,0.00394825811831317,1.3773211475786,0,0.176018254410509,161.327286796327,12.1114799976349,"posterior","spectral",NA,NA,NA,"baseline",19,904034858
"gscamm",0.14181041876364,0.201291116132296,0.14181041876364,0.00388579127420144,0.771266268560258,0.75,1.75499659601257,192.192316164539,2.73568415641785,"structural","kmeans",47,TRUE,NA,"baseline",20,1094480484
"gscamm_boot",0.14181041876364,0.201291116132296,0.14181041876364,0.00388579127420144,0.681615738351659,1,21.8267099614024,192.192316164539,996.130316257477,"structural","kmeans",47,TRUE,NA,"baseline",20,1094480484
"lda",0.159715586839322,0.159715586839322,0.159715586839322,0.00431304056702493,1.50176620911871,0.0138888888888889,0.247354291949485,167.927055863128,37.8756036758423,"posterior","random_dirichlet",NA,NA,NA,"baseline",20,1094480484
